id,E_X_aic_ipctry_issue,E_X_trx_last,N_X_ip_ratio_den,N_X_n_deny_co,N_X_n_ina_issue_co,N_X_n_issue_co,N_X_n_trans_3d_co,N_X_ratio_acc_no_cb_co,N_X_ratio_deny_co,N_X_tot_amnt_3d_co,blacklist,whitelist,learning_label
10005243,0,0,-888888888,54,1,2,2,0.018181818,0.981818182,136804,0,0,1
10013706,0,1,0.5,1,0,1,0,0,1,0,0,0,1
1002883,0,1,0.113207547,63,1,9,2,0,1,2320000,0,0,1
1002887,0,1,0.137614679,66,1,9,5,0,1,5800000,0,0,1
1003644,1,1,0.5,9,4,1,1,0,1,500000,1,0,1
1005171,0,1,0.928571429,13,0,7,2,0.071428571,0.928571429,1810160,0,0,1
10052445,0,0,0.033333333,26,12,1,31,0.859375,0.135416667,82022919,0,0,1
10080483,0,0,0.75,0,0,1,1,1,0,9772600,1,0,1
10087956,1,1,0.42,37,2,1,1,0.155555556,0.822222222,500000,0,0,1
10156302,1,0,0,0,0,1,1,1,0,6763400,0,0,1
10162656,0,3,0.428571429,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1018582,0,1,1,6,0,1,6,0,1,2270400,1,0,1
102113,1,1,1,13,5,1,2,0,1,1382800,0,0,1
10212327,1,1,0.75,3,0,1,3,0.25,0.75,3649596,0,0,1
10218345,1,1,0.46875,41,4,1,2,0,1,50000,0,0,1
10280169,0,0,0.5,0,1,1,0,1,0,0,0,0,1
10342416,0,0,0.033333333,26,12,1,7,0.857142857,0.137566138,17764978,0,0,1
103432,1,3,0,-888888888,1,1,0,-888888888,-888888888,0,0,0,1
10390293,0,1,0.412935323,3,1,1,3,0.4,0.6,3771000,0,0,1
10507527,1,1,0.64957265,60,15,1,0,0.393939394,0.606060606,0,0,0,1
10524222,1,0,0,0,0,1,0,1,0,0,0,0,1
105344,0,1,0.968421053,102,0,6,15,0,1,1572000,0,0,1
105435,1,1,1,6,0,1,6,0,1,10468800,0,0,1
10571226,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,1,0,1
10571403,0,1,1,15,2,10,15,0,1,41985000,0,0,1
10614216,0,3,0,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
10633032,1,1,0.509090909,13,9,1,9,0.071428571,0.928571429,1350000,0,0,1
10638774,0,1,0.75,100,0,1,31,0,0.99009901,9810803,0,0,1
1065406,1,0,0,11,12,1,0,0.633333333,0.366666667,0,0,0,1
